Amazon Pro,Google Pro
The pay is pretty decent,"Awesome perks, I am happy whenever I work on site."
Cool coworkers and atmosphere and a lot of small things that make you smile,Good company. Good benefits. Smart people
This is a work from home position. Fast paced and high volume call activity. There is ample opportunity for overtime.,Benefits are amazing.
"I love the earning potential and the perks are amazing! Set schedule, tons of overtime, amazing benifits... 401k, medical, dental, vision, meds effective the day of orientation... tuition assistance after only 1 year of full time employment, Paid Time Off, Unpaid Time Off, and Vacation Time... cumultive from day one!","I really enjoy working with my current team! Google, as everyone know, is a very innovative place and people thrive to invent new thing every day! I am glad to be part of the such successful company."
"Good Pay, Good Benefits, Easy Work, Stock, Tuition Help, Book Reimbursement",Gain in-depth technical skills working with highly competent and friendly coworkers.
Can help improve managerial experience,Treated well and as an equal
Good pay Paid every week Laid back environment,"Smart people, hard working, well known"
It is easy to more up in this company.,Complete and powerful tool chain
fast paced software development,"support, perks, culture, team, learning opportunities"
"Good working environment, Good company culture, Good salary and bonus...Overall, right choice to work here!",-Not being micromanaged
Fast paced -,"Food, laundry, gym, bikes... Free? Fun and challenging"
"This organization never sits still. We are always consistently trying to disrupt the status quo if not creating a whole new vertical. It's amazing to see how nimble an organization of this size can be. Finally, the people you work with are just amazing - extremely intelligent, hardworking and understand that boundaries only exist in the mind.",The resident at the facility was very nice. My Co-workers were also nice. There was good teamwork even though we were short staff.
"Amazon is the most fun and professional company I have worked for in over 20 years. The onsite district manager and area managers are extremely approachable, proactive, and professional. Everyone from the bottom up starts the shift with brief company updates, employee success stories, and group warm-up exercises in addition to other safety promoting tips. The pay is more than fair for a part-time position and the env??Show More","Great benefits and with okay salary for business side as well. Just a little bit down from management consulting firms. Once you are in the Google network, it will be easy for you to find jobs elsewhere too and the connections won't die after you leave."
"Your development expertise will grow immensely. You are surrounded by some of the smartest engineers in the world, so you learn a lot",Great place to work/perks/culture/fun/learning and very smart ambitious people to work with. Great name on your resume
"I enjoyed working at Amazon, for a few reasons: Great culture. People are friendly. Good work hours. Compensation meets market value.","perks, food, gym, culture, love, food, massage, location, fun, beers, events, working with young people and people that are smart"
Will hire anyone and you can walk around all day,"Decent pay and benefits, good bonuses and stock grants. Some really inspiring and talented coworkers. Learning opportunities. Some travel if you want it."
"Flexible hours, good for job for a self starter.","Wants their employees to be happy, will do anything and everything they can do make this happen."
Very positive experience- excellent management team and team building attitude,All expenses paid trip to Google HQ in Mountain View California
Very easy warehouse job. Amazon really emphasis safety of their employees. My direct leaders are easy to get along with and are not afraid to jump in and help when you're busy.,Great Working Environment. Great Perks
The company is innovative and fast paste. I am glad that I chose Amazon as my first full time job. Easy to move around the company and change roles.,Benefits are as good as advertised. Company really does view its employees as its largest asset and takes care of them.
Hours pay are pretty good,"Excellent working environment, Great food from breakfast to dinner and free transport."
"Demanding, Rewarding, Challenging are just a few of the positives derived from employment at Amazon.","It had a fun work environment, and people are amazing."
Not too much to say,Competitive compensation. World renown perks. Very smart coworkers. Impactful projects.
"If you develop any intellectual property, at all, I'd advise working here, completely and wholeheartedly, because they seem to be so interested in it, they may do just about anything to ""help"" you out with it.",Awesome work life really got to enjoy myself and didnt feel like i was under to much pressure.
Every department is easy and not hard to catch on to,Work own schedule which is pretty good.
Amazon is great company to work for as Control System Specialist.,"Sense of pride because you represent Google on your college campus, a lot of swag and some incentives. Good for making connections"
"Good people, monthly bonus, lots of people to talk to, overtime opportunities, chance for advancement, prizes for attendance","Awesome perks (meals, snacks, coffee, events), great mentorship, work-life balance point, supportive community, and just an overall great internship experience."
"Committed customer centricity, bright people","Good Salary and benefits and emerging technology that gives good work experience. Work environment is good, and there are some employee discount perks."
"You'll never learn as much anywhere else, or work as hard or as fast. The brand recognition makes you a target for headhunters.","Google has great amenities. You get free food, massages, gym. Great snacks and drinks. Friendly and smart co workers. More recruiters contact you."
"Consistent hours, decent time off, immediate benefits for blue badges.","collaboration, open culture, continuously challenging"
Great benefits. Safe work environment.,"extremely smart co-workers, a lot of resources, excellent perks and working environment, modern internal tools, an innovative and smart environment. if you have an opportunity to work there, there's really little reason not to try it for a few years at least. if you thrive, you thrive, if you don't, it looks great on the resume. one of Google's main attractions as an employer is that it's really a win-win to work the\342\200\246\302\240Show More"
"Working from home was an ease, pay was good, management was top notch.",Freedom for self-motivated people to succeed. Upper management values ideas from individuals. Highly qualified and motivated co-workers. Best place to work.
"Good pay, good people, good job.","The benefits are what you would dream of. Never pay for the dr again, eat anythign and everything you want. Smart people. Everything there just kind of 'works.' None of those annoying dead ends that other companies have."
great pay and drawings to earn stuff,"Lots of innovation, exciting projects, very smart people to collaborate with, mostly good work/life balance"
"You will get a lot to learn, fast paced environment, smart co-workers","exciting, awesome, critical thinking, i really like it"
"Good company, work hard and play hard environment. Great CEO",It is very cool. That's all I have to say
You will not lose your job if you show up everyday,"Amazing campus, food was wonderful, and the people are super friendly. I never wanted to leave"
"Its a fun, inobative enviroment","Lots of innovation, exciting projects, very smart people to collaborate with, mostly good work/life balance"
"highly collaborated,",Free food amazing perks and overall good pay and benefits and amazing challenges.
Opportunity to grow within the company,"perks, salary, benefits, brand name, prestige"
I just got a job with Amazon and am very excited to start. Great company with a big signing bonus!,"Awesome run. Great People. Managing ""bigness"" as well as can be expected"
Great place to work for extra money and good part time job,"The most obvious reasons, the ones you always hear, are absolutely true: Food, massage, freedom, games. You're spoiled, with good reason, and yes it really does help to increase productivity."
"Great company to say you work of and it's a huge learning opportunity. Generally feel a sense of accomplishment as an owner of a team of people.Your peers will be extremely smart and motivated. The standards here are very high and you will be challenged every day. In this job I am never bored, the pace is very fast.You get to work with some of the smartest, most capable people, on the most interesting problems. Lots???Show More","Great perks and benefits, decent compensation, brilliant people."
Company was very involved with making the work environment a better place.,"Very relaxed work place. Perks include great free food and drinks basically everywhere you go, and great coworkers. They give interns real projects as well."
"Good place to work, but long hours","Good Training, lots of exposer, mentorship"
"Great benefits, solid pay, very casual atmosphere and fairly supportive local (DFW) staff.","Great place to work, great perks."
Wonderful employees & great bonuses. If you go through integrity staffing which is a great hiring company! I personally loved the job & staff. Quit because I couldn't do third with my little one at home.,"They have interesting technology. The food is nice. You will probably like your colleagues. There is a lot of smart, driven people here. You will be recruited from other companies pretty heavily."
Great company that everyone should endeavor to work with. It's one big family that works toward the ultimate goal-the customer,There a good company and u will love what u do
Amazon growing company have opportunity to excel with great pay and benefits.,"No micromanagement, employees are empowered."
I love this job! It's very easy and the hiring process is simple and easy,"Culture, compensation & benefit, management, products."
"- Learn a lot, haven't been bored yet.","Google has very good benefit including health insurance, 401k and free breafast, lunch, dinner."
Packing: If you love to just zone out and do your job it's perfect. All you do is stand in one spot looking at a monitor and boxes and items for 10 - 12 hours a day 4 - 6 days a week.,Typical Tech Company with benefits
Extra money during Christmas time .Overtime if you need it,"Great perks--food is amazing and everywhere, bus service allows me to work while commuting, lots of on-campus amenities."
"chance to get to know new work activites and people,lack of opportunity for promotion,no chance diversity","Incredibly intelligent people who are willing to share their knowledge with you. Great food, lots of opportunity to gain new skills, particularly if you're a new grad."
Great place to work. Very fast paced environment.,"Good perks, free food, pool/gym"
"Good hours, nice pay and lots of people to meet. Great benefits and awesome staff.","Great perks (food, gym, etc). Opportunities to transfer roles, transfer internationally etc. Respectful managers & team members."
great entry level job for pay and benefits. Learning dept does a good job teaching and coaching,Great company to work for.
"Good pay, good benefits. You get to work with some of the smartest, most capable people, on the most interesting problems. There are almost unlimited opportunities within the company.","Amazing benefits, co-workers, and insurance. There are opportunities for advancement and ability to travel worldwide."
"Compensation is great. Learning on and designing ginormous micro-service based architectures. It's a great chance to learn how to design huge, scalable, fault-tolerant systems.",Compensation and benefits
Seattle downtown,If you love computers then there is no better company than this. I got spoiled there because after the intership ended I then realized how bad other companies are
<NA>,Great work and environment nice location and competitive salary
<NA>,"Great place to start a career or work for a while. You learn a ton of best practices, work in the great company which is Google, enjoy all of the amazing Google benefits, and get to work with awesome people. Also, it's a wonderful brand to be associated with, and you constantly learn innovative ideas and mindsets (especially if you go to TGIF)."
<NA>,Great work culture. Driven individuals. Fun place to work.
,-Great experience

