Amazon Pro,Google Pro
Great pay. Steady work. Overtime.,"Free food, nice environment, decent salary, good company reputation, and a lot more great things."
Awesome work . scope to learn many new things,"Free food, nice environment, decent salary, good company reputation, and a lot more great things."
Easy hire process/decent pay,-Amazing coworkers and teammates
Your job will be stable if you can put up with the BS.,"Google has a very open culture. Granted, being a large company, its ideals aren't always met, but the the culture of the company is to constantly strive to meet them. Among all the current large companies in the world, the culture is vastly superior."
Great brand to have on the resume. The company is doing some very interesting projects. Opportunities to transfer across division is a great benefit.,Google offers real challenge to employees that want to work hard
Good atmosphere and diverse workforce at the entry level,"Good food. Good co-workers, Opportunities to leave the comapny"
"Smart people, room to grow professionally","Opportunity to grow, training and integrity, people will feel good about themselg"
"They give everyone a chance. They don't discriminate based on age, race or gender. Lots of opportunity get overtime especially during the holidays. Lots of Unpaid time off",Great work Envirnoment and friendly staff.
"Transfer opportunities all over the country and the world, medical, dental, vision and life insurance, 401k match.","They fly you out to Mountain View HQ over summer to get trained for a few days. You learn about the Google culture, explore their offices, and have fun with the other Ambassadors. All the Ambassadors stay in a hotel. During the daytime, you have a bunch of workshops at the offices and free food. At night you go back to the hotels and PARTY! Jk, well you can. Oh and everything is ALL EXPENSE PAID!"
"Good pay, flexible hours, an environment with a lot of really smart people that you will learn a lot",Google is a good place to work with free food and great perks. the 20% time to work on own projects is a bit blown though
Good Money,-Food
"Fun job, lots of neat things to look at, nice pay.","Salaries are competitive. Perks and benefits are great. The culture of ""do no evil."" is still alive."
Fun and easy rewarding job,"Nice environment, good food, many fun"
It's amazing to be part of such an innovative company. We are constantly pushing boundaries of what is possible and accelerating delivery to the customer.,The best part of the job is when you just talk with your mates and have fun because thats what it is all about.
It's a wonderful job great pay all over fun working inviorment.,"(1) Countless perks that probably adds 20% to your base salary (including free food, transportation, gym, dance/sports classes, etc)"
Great Benefits. Diverse Workforce. Self Guided,"Free meals; Easy going, laid back work environment."
Fun environment and great people to work with,Lots of potential for learning on exciting projects
Challenging work.,"Relaxed atmosphere means you aren't having your back watched. Folks can inflate their performance if they want and don't have to work too hard. Probably put in realistically about 30 hours per week of real work. Great benefits including free meals, free barista, free juice bar, free on-site gym with trainers, lots of events including on-site presenters. Local and Global perks including discounts on EVERYTHING much li\342\200\246\302\240Show More"
"Depending on which team your one, you could work like crazy or work a few hours a day.","Great Company. The food is amazing. The people are brilliant, and the passion is palpable!"
The reserves position is awesome because you create your own shift.,Great benefits and friendly people. Never had a terrible day here.
You get paid enough and the work isn't difficult.,"Great benefits, opportunity to work with smart individuals. NYC building is gorgeous."
Learning something new everyday. Friendly staff. Good pay. Parties and prizes. Good experience. You learn how to manage time more efficiently.,"Working for a company that has massive scale, reach, and a positive influence on people every day. Transparency from the very top down. Opportunities to work with brilliant minds."
The only thing about working for amazon is that it looks good on resume,All the benefits are amazing.
"You will be working with very talented and smart people. People are not afraid to throw out all of their ideas, which makes design meetings and teamwork fun and challenging.","Free food, great benefits, flexible work environment."
"Leading edge, always something new, challenges are always right around the corner, never a dull moment. Anytime feedback is good when used the correct way.",Nothing to add here unfortunately
"Short process, took no longer than 3 days to get the job. Hiring event was pretty quick also, nothing major",Living the Google life.
Got fired hr did nothing to fight for my rights,"very smart people, fascinating innovation, amazing perks"
"Good pay, good benefits, good people","Great work life balance, amazing perks, smart and ambitious co-workers. Great lateral mobility opportunities at the company. Food is amazing too."
"Great opportunities for go getters who are willing to put in a lot of energy. Can learn good practices, which will be useful beyond. Good for young folks.",Google is perhaps the best big corporation you can work for which is well known so I don't have to write much here.
The project asked to do is not hard. Our mentor is actually very nice.,Great company culture and benefits
Great opportunities with a big company,Great place to work at
amazon is a good company to move forward.,Great engineering teams. Great infrastructure.
"Flexible working environment, new technology","Great teams, great products, great environment. Highly recommended."
"High energy, fast-paced environment. Motivated and driven leadership. Streamlined fulfillment strategy.",Work at google to get free food
was given opportunity to invent and make changes,Great benefits; Free Food; Smart Coworkers; Impactful Projects
The base salary is good compared to other companies. life in Seattle is comfortable.,"There is always fascinating, challenging work to do and plenty of opportunity to improve professional skills. We have the resources we need to achieve our goals. We enjoy excellent benefits, and the over-all compensation packages are terrific. It is possible to achieve a healthy work-life balance."
*Awesome people to work it and learn from,"Amazing benefits, especially insurance and maternity leave"
"benefits, starting pay, philosophy, 4-day workweek, education benefit if you're able to use it.",Your work gets a lot of exposure.
"Amazon has unique culture and startup mind no matter how company gets bigger. They encourage you to be different, disagree to someone, invent tools and be frugal. Regarding to my team, we have enough freedom, no micromanagement, no politics. Managers are nice and smart, they help us a lot. Company is growing so fast, and you will have many opportunities. It will be very exciting working in this company, especially in??Show More",Google is the most innovative large company that treats their employees well.
